0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.19,0.00
1.48,0.00
1.79,0.00
1.94,0.00
2.10,0.00
2.19,0.00
2.28,0.00
2.39,0.00
2.46,0.00
2.56,0.00
2.61,0.00
2.70,0.00
2.78,0.00
2.81,0.00
2.90,0.00
2.96,0.00
3.04,0.00
3.12,0.00
3.20,0.00
3.28,0.00
3.29,0.00
3.42,0.00
3.49,0.00
3.57,0.00
3.63,0.00
3.67,0.00
3.75,0.00
3.78,0.00
3.84,0.00
3.92,0.00
3.97,0.37
4.05,0.74
4.14,0.56
4.19,0.65
4.26,0.78
4.31,0.75
4.37,0.80
4.44,0.85
4.47,0.61
4.53,0.72
4.59,0.83
4.62,0.78
4.71,0.79
4.73,0.88
4.80,0.68
4.84,0.89
4.90,0.78
4.96,0.65
4.98,0.98
5.01,0.89
5.07,0.80
5.13,0.85
5.23,0.71
5.31,0.95
5.36,0.74
5.44,0.98
5.50,1.06
5.57,1.09
5.62,1.07
5.68,1.01
5.76,0.93
5.80,0.81
5.90,0.75
5.93,0.86
5.95,0.83
6.00,0.86
