0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.95,0.00
1.52,0.00
1.71,0.00
1.84,0.00
2.02,0.00
2.10,0.00
2.19,0.00
2.23,0.00
2.31,0.00
2.36,0.00
2.47,0.00
2.54,0.00
2.60,0.00
2.61,0.00
2.68,0.00
2.76,0.00
2.81,0.00
2.86,0.00
2.93,0.00
2.96,0.00
3.04,0.00
3.10,0.00
3.15,0.00
3.25,0.00
3.27,0.00
3.35,0.00
3.41,0.00
3.46,0.00
3.51,0.00
3.59,0.00
3.61,0.00
3.68,0.00
3.73,0.00
3.78,0.00
3.84,0.00
3.89,0.00
3.95,0.00
3.97,0.00
4.03,0.00
4.09,0.00
4.09,0.00
4.18,0.00
4.23,0.00
4.27,0.00
4.35,0.00
4.47,0.56
4.71,0.68
