0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
1.05,0.00
1.76,0.00
1.94,0.00
2.12,0.00
2.20,0.00
2.30,0.00
2.41,0.00
2.49,0.00
2.54,0.00
2.62,0.00
2.69,0.00
2.77,0.00
2.82,0.00
2.89,0.00
2.99,0.00
3.11,0.00
3.16,0.02
3.23,0.58
3.34,0.51
3.36,0.52
3.48,0.50
3.51,0.59
3.59,0.63
3.65,0.71
3.74,0.82
3.79,0.88
3.83,0.98
3.92,0.81
3.97,1.10
4.04,1.11
4.05,0.86
4.06,0.65
4.17,0.65
4.23,0.55
4.30,0.68
4.36,0.76
4.41,0.57
4.44,0.60
4.52,0.38
4.58,0.70
4.63,0.63
4.68,0.85
4.72,0.92
4.80,0.00
5.22,0.00
5.38,0.00
